date,weather,temperature,wind
2021-09-01,晴/晴,37/27,东北风1-2级/东北风1-2级
2021-09-02,多云/多云,34/25,东北风1-2级/东北风1-2级
2021-09-03,多云/多云,36/25,东风1-2级/东风1-2级
2021-09-04,晴/晴,37/27,东北风1-2级/东北风1-2级
2021-09-05,小雨/多云,35/26,西北风1-2级/西北风1-2级
2021-09-06,多云/多云,31/24,西北风3-4级/西北风3-4级
2021-09-07,阴/多云,28/23,西北风1-2级/西北风1-2级
2021-09-08,多云/多云,31/23,东北风1-2级/东北风1-2级
2021-09-09,多云/多云,34/24,西北风1-2级/西北风1-2级
2021-09-10,多云/多云,34/24,东南风1-2级/东南风1-2级
2021-09-11,晴/多云,36/24,东北风1-2级/东北风1-2级
2021-09-12,多云/多云,34/24,东北风3-4级/东北风3-4级
2021-09-13,多云/多云,34/23,北风1-2级/北风1-2级
2021-09-14,多云/多云,34/23,东风1-2级/东风1-2级
2021-09-15,多云/晴,34/24,北风1-2级/北风1-2级
2021-09-16,晴/晴,34/24,北风1-2级/北风1-2级
2021-09-17,晴/晴,35/24,东北风1-2级/东北风1-2级
2021-09-18,晴/多云,34/24,东南风1-2级/东南风1-2级
2021-09-19,多云/中雨,36/22,北风1-2级/北风1-2级
2021-09-20,多云/晴,29/21,东北风1-2级/东北风1-2级
2021-09-21,晴/晴,34/20,东风1-2级/东风1-2级
2021-09-22,晴/晴,36/23,东北风1-2级/东北风1-2级
2021-09-23,晴/晴,37/26,东风1-2级/东风1-2级
2021-09-24,晴/晴,37/27,东南风1-2级/东南风1-2级
2021-09-25,晴/晴,37/26,南风1-2级/南风1-2级
2021-09-26,晴/多云,37/26,北风1-2级/北风1-2级
2021-09-27,多云/晴,36/25,北风1-2级/北风1-2级
2021-09-28,多云/中雨,36/25,东北风1-2级/东北风1-2级
2021-09-29,小雨/晴,28/21,西北风1-2级/西北风1-2级
2021-09-30,晴/晴,32/20,北风1-2级/北风1-2级
2021-10-01,晴/晴,34/22,北风1-2级/北风1-2级
2021-10-02,晴/晴,36/23,东风1-2级/东风1-2级
2021-10-03,晴/晴,36/28,东南风1-2级/东南风1-2级
2021-10-04,晴/晴,37/28,东风1-2级/东风1-2级
2021-10-05,晴/多云,36/21,东北风1-2级/东北风1-2级
2021-10-06,多云/多云,29/19,北风1-2级/北风1-2级
2021-10-07,阴/阴,24/17,北风3-4级/北风3-4级
2021-10-08,阴/阴,22/17,西北风1-2级/西北风1-2级
2021-10-09,小雨/小雨,20/18,北风3-4级/北风3-4级
2021-10-10,阴/阴,20/15,北风1-2级/北风1-2级
2021-10-11,多云/阴,17/14,西北风3-4级/西北风3-4级
2021-10-12,多云/多云,21/16,北风1-2级/北风1-2级
2021-10-13,多云/阴,21/17,北风1-2级/北风1-2级
2021-10-14,阴/小雨,20/17,西北风1-2级/西北风1-2级
2021-10-15,小雨/小雨,17/14,北风3-4级/北风3-4级
2021-10-16,小雨/小雨,16/12,北风3-4级/北风3-4级
2021-10-17,阴/阴,16/11,北风1-2级/北风1-2级
2021-10-18,多云/阴,17/10,西北风1-2级/西北风1-2级
2021-10-19,小雨/小雨,16/13,北风1-2级/北风1-2级
2021-10-20,中雨/小雨,13/11,北风1-2级/北风1-2级
2021-10-21,小雨/阴,12/10,北风1-2级/北风1-2级
2021-10-22,小雨/多云,15/10,北风1-2级/北风1-2级
2021-10-23,阴/多云,20/10,西南风1-2级/西南风1-2级
2021-10-24,多云/多云,19/10,西北风1-2级/西北风1-2级
2021-10-25,多云/多云,23/10,北风1-2级/北风1-2级
2021-10-26,多云/多云,21/14,北风1-2级/北风1-2级
2021-10-27,阴/阴,23/14,北风1-2级/北风1-2级
2021-10-28,多云/小雨,22/16,北风1-2级/北风1-2级
2021-10-29,小雨/阴,16/13,北风1-2级/北风1-2级
2021-10-30,多云/多云,22/14,西北风1-2级/西北风1-2级
2021-10-31,小雨/小雨,18/14,北风1-2级/北风1-2级
2021-11-01,阴/小雨,18/15,东北风1-2级/东北风1-2级
2021-11-02,阴/小雨,21/16,东风1-2级/东风1-2级
2021-11-03,多云/小雨,21/15,北风1-2级/北风1-2级
2021-11-04,小雨/中雨,20/16,东风1-2级/东风1-2级
2021-11-05,中雨/小雨,18/17,西北风1-2级/西北风1-2级
2021-11-06,小雨/小雨,20/10,东北风1-2级/东北风1-2级
2021-11-07,小雨/晴,10/5,北风1-2级/北风1-2级
2021-11-08,晴/晴,12/4,西北风1-2级/西北风1-2级
2021-11-09,晴/晴,17/5,西北风1-2级/西北风1-2级
2021-11-10,晴/晴,18/7,北风1-2级/北风1-2级
2021-11-11,多云/多云,20/10,北风1-2级/北风1-2级
2021-11-12,阴/多云,18/8,北风1-2级/北风1-2级
2021-11-13,晴/晴,20/8,北风1-2级/北风1-2级
2021-11-14,晴/晴,22/9,东风1-2级/东风1-2级
2021-11-15,多云/多云,22/11,东风1-2级/东风1-2级
2021-11-16,阴/小雨,19/12,北风1-2级/北风1-2级
2021-11-17,小雨/多云,17/12,西北风1-2级/西北风1-2级
2021-11-18,晴/晴,19/8,东风1-2级/东风1-2级
2021-11-19,多云/小雨,21/10,东风1-2级/东风1-2级
2021-11-20,小雨/小雨,17/12,北风1-2级/北风1-2级
2021-11-21,中雨/小雨,13/7,北风3-4级/北风3-4级
2021-11-22,多云/晴,12/6,北风3-4级/北风3-4级
2021-11-23,晴/晴,15/5,西北风1-2级/西北风1-2级
2021-11-24,晴/晴,17/5,东南风1-2级/东南风1-2级
2021-11-25,晴/晴,18/6,东北风1-2级/东北风1-2级
2021-11-26,晴/晴,22/7,东北风1-2级/东北风1-2级
2021-11-27,多云/多云,20/8,东北风1-2级/东北风1-2级
2021-11-28,晴/多云,18/7,北风1-2级/北风1-2级
2021-11-29,晴/晴,17/7,北风1-2级/北风1-2级
2021-11-30,晴/晴,15/3,北风1-2级/北风1-2级
2021-12-01,晴/多云,13/2,北风1-2级/北风1-2级
2021-12-02,晴/多云,17/4,北风1-2级/北风1-2级
2021-12-03,晴/晴,19/5,北风1-2级/北风1-2级
2021-12-04,晴/晴,19/5,东风1-2级/东风1-2级
2021-12-05,晴/晴,20/6,北风1-2级/北风1-2级
2021-12-06,晴/晴,20/5,北风1-2级/北风1-2级
2021-12-07,多云/多云,16/6,北风1-2级/北风1-2级
2021-12-08,多云/多云,16/8,西北风1-2级/西北风1-2级
2021-12-09,多云/多云,18/7,北风1-2级/北风1-2级
2021-12-10,晴/多云,19/8,东北风1-2级/东北风1-2级
2021-12-11,多云/小雨,16/10,西北风1-2级/西北风1-2级
2021-12-12,阴/阴,11/7,北风1-2级/北风1-2级
2021-12-13,多云/小雨,13/7,北风1-2级/北风1-2级
2021-12-14,多云/多云,14/7,东风1-2级/东风1-2级
2021-12-15,多云/多云,17/10,东北风1-2级/东北风1-2级
2021-12-16,阴/阴,13/9,北风3-4级/北风3-4级
2021-12-17,多云/晴,11/3,北风1-2级/北风1-2级
2021-12-18,晴/晴,12/3,北风1-2级/北风1-2级
2021-12-19,晴/晴,15/3,东北风1-2级/东北风1-2级
2021-12-20,晴/晴,16/5,东南风1-2级/东南风1-2级
2021-12-21,晴/晴,18/5,北风1-2级/北风1-2级
2021-12-22,晴/晴,21/5,东北风1-2级/东北风1-2级
2021-12-23,晴/多云,19/6,东北风1-2级/东北风1-2级
2021-12-24,小雨/小雨,12/3,北风1-2级/北风1-2级
2021-12-25,阴/阴,3/0,北风1-2级/北风1-2级
2021-12-26,中雪/小雪,1/-1,北风1-2级/北风1-2级
2021-12-27,小雪/阴,0/-1,西北风1-2级/西北风1-2级
2021-12-28,阴/小雨,4/0,北风1-2级/北风1-2级
